,EMI,ROI,EligibleLoanAmount
1586,456.5,0.076638966,9150.000001
1587,727.56,0.107142857,3555.299999
1588,350,0.259259259,19440
1589,69.2,0.064721287,6912.299999
1590,922.5,0.155761925,28200
1591,380.4,0.112531061,15000
1592,3027,0.232363553,39000
1594,1889.9986,0.122807018,25247.1
1598,59.279595,0.208547685,18720
1603,166.865571,0.24110192,18792
1605,821.1,0.190021059,11889.6
1606,1100,0.090909091,10199.4
1608,128.3378,0.176954733,7776
1613,350,0.259259259,4970.999999
1615,69.9895,0.065420561,15000
1617,1924.9965,0.259259259,5120.700001
1618,3868.5,0.205024247,27900
1620,68.2109,0.224806202,2319.3
1622,982.5,0.061473487,12750
1623,1177.5,0.072786277,10500
1624,593.5265,0.259259259,7319.999999
1626,1251.992488,0.200255918,25500
1627,1364.9965,0.259259259,25499.7
1628,319.769619,0.137856712,2999.999999
1631,835,0.143101971,19500
1632,2719.5,0.099909991,38700
1634,1374,0.255675475,18000
1637,1001.00154,0.071494893,16650
1638,30.598116,0.204644874,15600
1639,712,0.151103565,11988.6
1640,1249.5,0.199935995,26250
1642,91.380051,0.24110192,19500
1643,670.857525,0.18200409,18000
1645,1055.6,0.208798164,15600
1646,1089,0.098205429,34500
1649,42.54993,0.129677981,9000
1650,1270.8,0.24110192,14580
1653,244.03695,0.086757991,21900
1655,560,0.137931034,36000
1658,768.3,0.203885041,13500
1659,149.115507,0.178914525,12900
1662,630.401576,0.136143746,16500
1663,2693.997306,0.212226249,27000
1665,169.6624,0.159663866,19800
1667,2998.5,0.166597216,31500
1670,980,0.21875,31500
1674,236.46411,0.24110192,9000
1681,427.6948,0.206349206,15000
1683,62.39772,0.165275459,20520
1684,947.57,0.203885041,11160
1685,24.994125,0.139784946,5760
1687,882.5,0.150021249,30000
1692,495.89478,0.206978588,10200
1695,664.988889,0.129602228,12000
1696,390.567324,0.206286213,9600.000001
1701,630,0.152542373,9983.999999
1704,2205,0.259259259,18000
1705,1424.99715,0.124726477,40622.4
1706,1000.16,0.208359721,10800
1708,539.99784,0.097472924,19500
1710,247.5,0.198396794,23850
1711,2362.4055,0.086340795,73537.2
1712,2792.4,0.17681923,17880
1713,1440,0.137931034,9000
1715,2955.2,0.155904448,12300
1717,25.967172,0.17681923,12000
1719,115,0.103139013,17640
1720,234.76566,0.17681923,16200
1722,866.99898,0.092558984,18900
1723,483.5956,0.145299145,25485
1727,264,0.107142857,1050.000001
1728,329.2711,0.211045365,21000
1729,803.31295,0.209173586,8399.999999
1730,1559.4,0.206286213,10500
1731,598.3985,0.259259259,27720
1732,1202.25,0.255675475,11850
1736,3312.5,0.116997792,52500
1737,759,0.121265378,10350
1739,57.316,0.199487672,8399.999999
1740,358.225,0.074502545,28584
1741,215.470494,0.24110192,21210
1745,57.716896,0.157113958,41700
1746,520.0052,0.206349206,18000
1748,562.5,0.157894737,8856
1749,174.65,0.047528336,12000
1754,304.50417,0.179655455,12000
1755,483.0288,0.137931034,36000
1757,2987.3948,0.206349206,13380
1758,97.759,0.224806202,25500
1759,65.324996,0.23418594,7499.999999
1760,532.2,0.15067097,22800
1761,3678,0.196916158,43936.8
1762,1095,0.098693105,20100
1763,2767.5,0.155761925,31500
1765,393.75,0.207920792,14700
1767,63.48575,0.223300971,7499.999999
1768,370,0.090909091,30000
1772,1510.459776,0.118476728,25500
1776,52.308824,0.19929538,18000
1781,0,0.166666667,3600
1782,350,0.259259259,9600.000001
1788,3976,0.165832499,14760
1796,19.89864,0.222334552,15000
1799,0,0.259259259,7200
1801,3085,0.197946744,24000
1802,420.928441,0.134873259,8111.999999
1804,436.5018,0.082568807,6869.400001
1805,0,0.238617329,22200
1806,750,0.130434783,50400
1808,2212.5,0.227799228,36000
1809,646.8551,0.145299145,14400
1812,129.57635,0.126637555,2999.999999
1813,630,0.095022624,15600
1814,1084.5,0.087924115,58800
1815,259.8,0.114965926,13500
1816,367.05413,0.112688554,8235.299999
1817,870.261,0.224806202,12716.4
1818,700,0.122807018,30000
1824,93.999983,0.192832351,37500
1827,577.2,0.099909991,13500
1830,1000.006,0.166666667,30000
1833,1259.54,0.15067097,19830
1836,441.44,0.12464986,13905
1838,632.6679,0.18699187,15540
1839,42.50042509,0.040767386,16500
1841,50.15,0.2,10426.8
1843,0,0.223300971,13800
1847,2152.5,0.170124481,18000
1849,1151.751355,0.119330691,21000
1850,140,0.065420561,15000
1854,922.075,0.180327869,30000
1856,237.626914,0.063582732,16800
1859,1500,0.130434783,9299.999999
1860,1111.904379,0.159593243,21848.4
1862,140.4,0.065595216,25200
1863,500.54628,0.118165785,9219.6
1864,577.803852,0.161495891,13869.9
1865,115.119214,0.242366846,27600
1867,844,0.095431931,32226.6
1871,1800,0.107142857,22500
1872,142,0.066293184,25800
1873,351.20427,0.131567521,13500
1876,14.184225,0.153618282,2999.999999
1877,660,0.180327869,6000.000001
1878,694.675038,0.198782149,10098.6
1879,1544.4,0.204708128,7499.999999
1882,382.8,0.087341426,18000
1884,696.50199,0.165971643,18550.8
1886,157.56048,0.206978588,12300
1887,1279.6,0.242366846,10800
1888,2788.8,0.188575138,9000
1890,2725.233064,0.153689912,30000
1899,810.0027,0.118942731,12361.2
1902,299.7,0.090826439,7499.999999
1905,1699.2,0.175189706,30600
1907,551.08664,0.094202899,15000
1908,17.93385,0.198396794,15000
1912,27.022572,0.225766491,9600.000001
1916,56.758514,0.215501687,3978
1918,2415,0.243570348,24530.7
1919,166.6,0.106344951,6000.000001
1921,1267.5,0.088838269,25502.4
1922,2517.9,0.193418293,13500
1924,1775.9,0.202361011,18477
1928,1400,0.259259259,41100
1929,3220.8,0.211605172,30000
1930,94.3758,0.118942731,4200.000001
1931,15.209833,0.170743843,7170.000001
1932,7.609425,0.1507431,23862.9
1933,429.6,0.17681923,9000
1934,1270.8,0.24110192,41490
1936,96.512,0.137931034,21000
1939,833.248485,0.131567521,18000
1942,542.4,0.213341724,9900
1944,987.62,0.206286213,16950
1949,582.4,0.14266118,14025
1950,2439,0.139858937,25500
1952,111.580055,0.211915833,13050
1954,355,0.090909091,11400
1955,1599,0.137856712,10311.6
1958,2320,0.224806202,34500
