,LoanStatus
3513,1
3514,1
3518,1
3522,1
3523,0
3524,0
3526,0
3527,1
3531,1
3532,1
3535,1
3537,1
3541,1
3542,1
3543,1
3545,1
3546,1
3548,1
3549,1
3552,1
3553,1
3554,0
3555,1
3556,0
3558,1
3559,1
3560,0
3562,1
3564,1
3565,0
3566,0
3569,0
3572,0
3577,1
3578,1
3580,1
3584,1
3587,1
3588,1
3595,1
3597,1
3599,1
3600,1
3602,1
3605,1
3607,1
3608,0
3609,1
3610,1
3612,1
3615,1
3623,1
3625,1
3626,1
3627,1
3629,1
3630,1
3631,1
3632,0
3633,1
3634,1
3636,1
3639,1
3641,0
3645,0
3649,1
3650,1
3652,0
3654,1
3656,1
3657,1
3658,1
3662,1
3663,0
3664,1
3668,1
3669,0
3672,1
3675,0
3677,1
3679,1
3681,0
3683,1
3684,1
3686,0
3693,1
3695,1
3697,0
3699,0
3700,1
3701,1
3702,1
3703,1
3705,1
3708,1
3710,1
3712,1
3715,1
3717,1
3719,0
3720,0
3722,0
3724,0
3726,1
3728,1
3730,1
3731,0
3732,1
3736,1
3739,1
3744,1
3746,1
3748,0
3750,1
3752,1
3754,0
3755,1
3756,1
3759,1
3763,1
3767,1
3772,1
3777,1
3781,0
3785,1
3787,1
3788,1
3789,0
3790,0
3792,1
3794,1
3795,1
3796,1
3797,0
3800,1
3801,1
3803,1
3805,0
3806,0
3809,1
3810,1
3812,1
3813,1
3815,1
3821,1
3825,0
3827,1
3828,0
3831,1
3832,1
3833,1
3834,1
3836,1
3837,1
3838,1
3841,0
3844,1
3845,1
3846,0
3849,0
3850,1
3855,1
3858,0
3860,1
3864,1
3865,1
3868,1
3870,1
3871,1
3872,0
3873,0
3874,1
3875,1
3876,1
3878,0
3879,1
3880,0
3881,1
3883,0
3886,0
3887,1
3888,0
3890,1
3891,1
3892,1
3894,1
3895,1
3897,0
3899,1
3901,1
3903,1
3905,1
3907,1
3908,1
3910,1
3913,0
3915,0
3916,0
3918,1
3920,0
3923,1
3924,0
3927,1
3928,1
3930,0
3931,0
3932,0
3933,1
3935,1
3943,1
3946,1
3949,1
3952,1
3958,1
3959,1
3960,1
3961,0
3962,1
3965,1
3967,1
3968,1
3969,1
3970,1
3972,1
3975,1
3976,1
3977,1
3978,1
3979,1
3981,1
3982,1
3984,1
3985,1
3986,1
3987,1
3988,0
3990,0
3992,1
3994,1
3995,1
3999,1
4000,1
4006,1
4007,1
4008,1
4009,0
4010,1
4011,1
4012,0
4013,1
4015,0
4016,1
4018,1
4019,0
4021,1
4023,1
4028,1
4029,0
4031,1
4033,1
4034,0
4035,1
4040,1
4041,0
4044,1
4045,0
4046,1
4047,1
4048,1
4049,0
4050,1
4052,1
4053,1
4054,1
4056,1
4058,1
4059,1
4061,1
4062,1
4063,1
4065,0
4070,1
4071,1
4072,1
4073,1
4074,0
4076,0
4079,1
4080,1
4081,1
4082,1
4083,1
4090,1
4091,1
4092,1
4093,1
4097,1
4102,0
4103,0
4104,0
4105,1
4106,1
4109,0
4110,1
4113,1
4115,1
4116,1
4117,1
4120,1
4124,1
4125,1
4126,1
4127,0
4128,1
4133,0
4135,1
4137,1
4139,1
4140,1
4143,1
4145,0
4146,1
4149,1
4151,1
4152,0
4154,0
4156,1
4157,1
4159,0
4160,1
4164,1
4165,1
4166,1
4169,1
4171,0
4173,0
4175,1
4176,1
4177,1
4178,1
4183,0
4184,0
4186,1
4187,1
4189,1
4190,1
4192,1
4193,1
4194,1
4195,1
4196,1
4197,1
4199,1
4201,1
4203,1
4205,1
4206,0
4208,1
4209,0
4210,1
4211,1
4213,1
4214,0
4217,0
4220,1
4221,1
4225,1
4226,1
4227,1
4229,0
4230,0
4231,1
4233,1
4234,1
4236,0
4240,1
4241,0
4242,1
4246,1
4247,0
4248,1
4249,1
4252,1
4254,0
4255,1
4256,1
4257,1
4258,1
4263,1
4265,0
4268,1
4269,1
4271,1
4272,1
4273,1
4276,0
4280,1
4281,0
4282,1
4283,1
4285,1
4287,1
4289,0
4290,0
4292,1
4293,0
4294,1
4302,0
4303,1
4304,1
4305,1
4306,1
4309,1
4310,1
4311,0
4312,1
4314,1
4321,1
4322,1
4323,1
4327,1
4329,1
4330,0
4331,1
4332,1
4334,1
4336,0
4337,1
4340,0
4343,1
4348,0
4352,1
4353,0
4354,0
4356,1
4362,0
4365,1
4366,1
4369,1
4371,0
4374,1
4378,1
4379,1
4380,1
4382,1
4384,1
4385,1
4387,1
4388,1
4392,0
4393,1
4398,0
4400,1
4401,0
4405,0
4406,1
4408,1
4409,1
4410,1
4413,1
4417,1
4420,0
4422,0
4424,1
4428,0
4429,1
4430,0
4431,1
4432,1
4433,1
4434,1
4436,0
4439,0
4440,1
4442,0
4444,1
4445,1
4446,1
4447,1
4449,1
4450,1
4451,1
4452,1
4453,1
4454,0
4455,1
4456,1
4457,1
4459,1
4460,1
4461,0
4462,0
4463,0
4464,0
4465,1
4466,1
4467,1
4468,1
4470,0
4471,0
4474,1
4476,1
4478,1
4483,1
4485,0
4487,1
4488,1
4490,0
4491,0
4492,1
4494,1
4496,1
4497,1
4499,1
4500,0
4502,1
4504,1
4506,1
4507,1
4508,1
4509,1
4512,0
4514,0
4516,1
4519,1
4520,1
4521,0
4522,1
4524,0
4525,1
4530,1
4531,0
4532,1
4533,1
4534,1
4540,1
4542,0
4543,0
4546,1
4547,1
4549,1
4550,1
4554,1
