BorrowerAPR,CreditScoreRangeLower,CreditScoreRangeUpper,LP_CustomerPrincipalPayments,EstimatedReturn,LenderYield,LP_CustomerPayments,EstimatedLoss,BorrowerRate
0.526989086,0.681818182,0.681818182,0.099937429,0.622761437,0.497512438,0.139112789,0.247189299,0.502512563
0.707351313,0.75,0.75,0.037370857,0.671312178,0.67641791,0.07459303,0.484907228,0.68321608
0.322049984,0.795454545,0.795454545,0.040476571,0.622761437,0.308457711,0.051516111,0.247189299,0.311557789
0.727617842,0.681818182,0.681818182,0.001418286,0.622761437,0.696517413,0.003614073,0.247189299,0.703517588
0.163555837,0.886363636,0.886363636,0.128571429,0.622761437,0.173930348,0.124668525,0.247189299,0.165628141
0.686155489,0.681818182,0.681818182,0.007640857,0.645797599,0.623681592,0.015973567,0.422597618,0.629949749
0.451696457,0.772727273,0.772727273,0.047075714,0.622761437,0.437810945,0.092941508,0.247189299,0.442211055
0.456639513,0.613636364,0.613636364,0.043172571,0.622761437,0.417910448,0.059620327,0.247189299,0.462311558
0.326854635,0.772727273,0.772727273,0.142857143,0.623713551,0.295721393,0.141909024,0.069232899,0.298693467
0.152799747,0.931818182,0.931818182,0.142857143,0.510506003,0.16,0.135249848,0.027970091,0.16160804
0.49031161,0.772727273,0.772727273,0.285714,0.711406518,0.456318408,0.30934407,0.16643589,0.460904523
0.491616577,0.636363636,0.636363636,0.030137143,0.622761437,0.47761194,0.04275153,0.247189299,0.48241206
0.232462037,0.886363636,0.886363636,0.099999714,0.545454545,0.204975124,0.098129847,0.044585987,0.207035176
0.374485922,0.772727273,0.772727273,0.283542571,0.622761437,0.36079602,0.31814845,0.247189299,0.364422111
0.304551566,0.863636364,0.863636364,0.151428571,0.585763293,0.276616915,0.148132869,0.091664359,0.279396985
0.273548719,0.75,0.75,0.111318,0.622761437,0.264278607,0.117633964,0.247189299,0.276984925
0.212847991,0.863636364,0.863636364,0.028571429,0.622761437,0.15721393,0.025659171,0.247189299,0.15879397
0.686155489,0.727272727,0.727272727,0.003939143,0.645797599,0.623681592,0.008461801,0.422597618,0.629949749
0.389611674,0.818181818,0.818181818,0.119756,0.631861063,0.367164179,0.216994137,0.151204652,0.370854271
0.723604081,0.681818182,0.681818182,0.028571429,0.622761437,0.692537313,0.032786843,0.247189299,0.699497487
0.439319045,0.727272727,0.727272727,0.285714286,0.592409949,0.387860697,0.272010825,0.227360842,0.391758794
0.444242328,0.75,0.75,0.171428571,0.616209262,0.385870647,0.173354256,0.193852119,0.389748744
0.601075609,0.840909091,0.840909091,0.214285714,0.714193825,0.547263682,0.270530408,0.285516477,0.552763819
0.4367882,0.568181818,0.568181818,0.045682,0.622761437,0.447761194,0.061980249,0.247189299,0.442211055
0.450984657,0.795454545,0.795454545,0.005483429,0.630789022,0.417711443,0.013347583,0.193852119,0.421909548
0.327546662,0.727272727,0.727272727,0.185712,0.622761437,0.308457711,0.200969713,0.247189299,0.331658291
0.599276337,0.568181818,0.568181818,0.028571429,0.622761437,0.587064677,0.037455832,0.247189299,0.582914573
0.448137457,0.75,0.75,0.428571429,0.688679245,0.414925373,0.403358428,0.142896705,0.419095477
0.27791838,0.795454545,0.795454545,0.102300286,0.622761437,0.278606965,0.11970645,0.247189299,0.281407035
0.382157545,0.704545455,0.704545455,0.137822857,0.622761437,0.373134328,0.176327128,0.247189299,0.386934673
0.599276337,0.613636364,0.613636364,0.008068571,0.622761437,0.55721393,0.015725193,0.247189299,0.582914573
0.570567067,0.727272727,0.727272727,0.005523429,0.682675815,0.51721393,0.009954612,0.285516477,0.52241206
0.691830117,0.75,0.75,0.027102,0.581903945,0.636616915,0.049211711,0.548601495,0.643015075
0.456639513,0.636363636,0.636363636,0.005061429,0.622761437,0.467661692,0.008616439,0.247189299,0.462311558
0.346409364,0.840909091,0.840909091,0.142857143,0.579974271,0.318208955,0.148516362,0.151204652,0.321407035
0.47243752,0.681818182,0.681818182,0.085714286,0.622761437,0.450945274,0.094754564,0.247189299,0.455477387
0.514631446,0.75,0.75,0.094285714,0.637006861,0.455124378,0.084047458,0.260592634,0.459698492
0.429686639,0.764137188,0.764137188,0.114285714,0.622761437,0.169154229,0.098348003,0.247189299,0.201005025
0.670970421,0.727272727,0.727272727,0.114285714,0.620347341,0.608756219,0.103308605,0.436444198,0.614874372
0.272065802,0.840909091,0.840909091,0.045714,0.531732419,0.220099502,0.044161439,0.083356411,0.222311558
0.202467574,0.863636364,0.863636364,0.085714286,0.622761437,0.212935323,0.085937164,0.247189299,0.205025126
0.575114679,0.772727273,0.772727273,0.142857429,0.729202401,0.545273632,0.164258509,0.26336195,0.550753769
0.667213698,0.727272727,0.727272727,0.157142571,0.622761437,0.636616915,0.212073825,0.247189299,0.643015075
